dataset,dr_method,dimension,embedding,kta_method,reps_mean,reps_std,random_samples_mean,random_samples_std,learning_rate_mean,learning_rate_std,epochs_config_mean,epochs_config_std,wall_clock_time_mean,wall_clock_time_std,final_alignment_mean,final_alignment_std,final_loss_mean,final_loss_std,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,balanced_train_accuracy_mean,balanced_train_accuracy_std,balanced_test_accuracy_mean,balanced_test_accuracy_std,f1_score_mean,f1_score_std,precision_mean,precision_std,recall_mean,recall_std,generalization_gap_mean,generalization_gap_std,train_margin_mean,train_margin_std,test_margin_mean,test_margin_std,kernel_variance_mean,kernel_variance_std,effective_rank_mean,effective_rank_std,fro_norm_mean,fro_norm_std,centered_alignment_mean,centered_alignment_std,epochs_mean,epochs_std,training_time_mean,training_time_std,circuit_executions_mean,circuit_executions_std
torus,fs,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.0957089583292448,0.0011264892985021447,0.5119280815124512,0.0,0.48489874601364136,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.4559937047456275,0.0,2.361126649235155,0.0,0.1449705809354782,0.0,2.6904687881469727,0.0,253.07620239257812,0.0,0.8500699400901794,0.0,20.0,0.0,0.8784744169970509,0.0017178619692275246,1924672.0,0.0
torus,fs,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.4370660420196755,0.020047960347768096,0.6032432913780212,0.0,0.4255923628807068,0.0,1.0,0.0,0.9700000000000001,0.0,1.0,0.0,0.9716981132075472,0.0,0.9699729756781105,0.0,0.9700000000000001,0.0,0.9716981132075472,0.0,0.030000000000000027,0.0,1.482786552209456,0.0,1.4287435181915595,0.0,0.0883226990699768,0.0,12.038582801818848,0.0,167.375,0.0,0.8721204996109009,0.0,20.0,0.0,5.418116791658879,0.02037995732277124,1924672.0,0.0
torus,fs,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,24.62655355532964,0.15248151896337567,0.23951636254787445,0.0,0.5729955434799194,0.0,1.0,0.0,0.94,0.0,1.0,0.0,0.9385788839823364,0.0,0.9396135265700482,0.0,0.9414141414141414,0.0,0.9385788839823364,0.0,0.06000000000000005,0.0,1.1600630531931215,0.0,1.0161113390079735,0.0,0.007437821943312883,0.0,196.8771514892578,0.0,39.46455383300781,0.0,0.30955541133880615,0.0,20.0,0.0,21.727881347333703,0.11583386936473411,1924672.0,0.0
torus,fs,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,101.73586031967231,0.08556640111502253,0.061710063368082047,0.0,0.6395796537399292,0.0,1.0,0.0,0.91,0.0,1.0,0.0,0.9066639903653151,0.0,0.9088976617066504,0.0,0.9158456486042693,0.0,0.9066639903653151,0.0,0.08999999999999997,0.0,0.9817652400338406,0.0,0.2113210799386905,0.0,0.0025490769185125828,0.0,392.26727294921875,0.0,20.433095932006836,0.0,0.06133675202727318,0.0,20.0,0.0,92.96756933333624,0.06860354822425162,1924672.0,0.0
torus,pca,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.346825082990108,0.4304851342922278,0.0236513651907444,0.0,0.7045427560806274,0.0,0.62,0.0,0.51,0.0,0.616748916556026,0.0,0.5052187876354878,0.0,0.5039983804028747,0.0,0.5053366174055829,0.0,0.5052187876354878,0.0,0.10999999999999999,0.0,0.7091441114300053,0.0,0.7314812479754975,0.0,0.09784507006406784,0.0,5.4561991691589355,0.0,195.20018005371094,0.0,0.033067941665649414,0.0,20.0,0.0,1.0228021113337793,0.24907108182169163,1924672.0,0.0
torus,pca,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.463353499663451,0.09543009572970598,0.037316519767045975,0.0,0.6045734286308289,0.0,0.7799999999999999,0.0,0.64,0.0,0.7779754001853755,0.0,0.6338819751103975,0.0,0.6328029375764994,0.0,0.6401849516603615,0.0,0.6338819751103975,0.0,0.14,0.0,0.798394837871403,0.0,0.7638820751247919,0.0,0.014592990279197693,0.0,83.67589569091797,0.0,61.8978385925293,0.0,0.046952176839113235,0.0,20.0,0.0,5.4306079303302495,0.11447296745945719,1924672.0,0.0
torus,pca,6,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,24.487434985669097,0.16910876600703537,0.055137936025857925,0.0,0.6651796102523804,0.0,0.9475000000000001,0.0,0.62,0.0,0.9468298304065733,0.0,0.6174227217984745,0.0,0.6175523349436394,0.0,0.6181818181818182,0.0,0.6174227217984745,0.0,0.3275,0.0,0.8302342036937267,0.0,0.5333072131643545,0.0,0.005040125455707312,0.0,258.9813537597656,0.0,32.324241638183594,0.0,0.06282591074705124,0.0,20.0,0.0,21.59079834765483,0.17551956215685388,1924672.0,0.0
torus,pca,8,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,101.81425434699243,0.1631109410555467,0.05256613343954086,0.0,0.6446839570999146,0.0,1.0,0.0,0.64,0.0,1.0,0.0,0.6350863107185869,0.0,0.6347402597402598,0.0,0.639107069036792,0.0,0.6350863107185869,0.0,0.36000000000000004,0.0,0.9415491919693935,0.0,0.15797905493011363,0.0,0.0025684363208711147,0.0,390.4267578125,0.0,20.56247329711914,0.0,0.05319901928305626,0.0,20.0,0.0,92.94169619467964,0.13617693862656033,1924672.0,0.0
torus,rp,2,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,1.1194944170032006,0.027048723024247344,0.01196084450930357,0.0,0.5717016458511353,0.0,0.5975,0.0,0.56,0.0,0.5947669029785315,0.0,0.5596146126053794,0.0,0.5592948717948718,0.0,0.5594237695078031,0.0,0.5596146126053794,0.0,0.03749999999999998,0.0,0.6745229072773317,0.0,0.6800962591200806,0.0,0.09733510762453079,0.0,5.839156150817871,0.0,191.15518188476562,0.0,0.01877828687429428,0.0,20.0,0.0,0.8860084306506906,0.002885877851564993,1924672.0,0.0
torus,rp,4,quack_embedding,random_kta,2.0,0.0,8.0,0.0,0.20000000000000004,0.0,20.0,0.0,6.480975554994075,0.04413257576632971,0.0267023965716362,0.0,0.599887490272522,0.0,0.7799999999999999,0.0,0.52,0.0,0.7779754001853755,0.0,0.5122440786832597,0.0,0.5073891625615763,0.0,0.5130845130845131,0.0,0.5122440786832597,0.0,0.26,0.0,0.6936782458923406,0.0,0.6073081781842692,0.0,0.010164461098611355,0.0,110.44454956054688,0.0,51.041629791259766,0.0,0.03435586765408516,0.0,20.0,0.0,5.45493299998149,0.039130623787220264,1924672.0,0.0
