dataset,seed,dr_method,dimension,embedding,circuit_evals,kta,centered_kta,variance,effective_rank,fro_norm,svm_train_acc,svm_test_acc
gaussian,0,pca,2,zz,250000,0.01997888647019863,0.10249177366495132,0.05055829510092735,2.6781046390533447,374.60699462890625,0.6628571428571428,0.7266666666666667
gaussian,0,pca,2,angle_reupload,250000,0.030749915167689323,0.10830415785312653,0.07805580645799637,2.343958616256714,346.3926696777344,0.5714285714285714,0.64
gaussian,0,pca,4,zz,250000,0.04151316359639168,0.16312554478645325,0.04857167974114418,6.330955982208252,293.47943115234375,0.8571428571428571,0.8933333333333333
gaussian,0,pca,4,angle_reupload,250000,-0.0015912770759314299,-0.005197816528379917,0.03989025950431824,2.6303870677948,186.73675537109375,0.56,0.6066666666666667
gaussian,0,pca,6,zz,250000,0.07692735642194748,0.24191492795944214,0.0449124351143837,15.370227813720703,223.41268920898438,0.9142857142857143,0.94
gaussian,0,pca,6,angle_reupload,250000,-0.0007569618755951524,-0.0034577639307826757,0.01689944975078106,3.022737979888916,115.2934799194336,0.45714285714285713,0.4866666666666667
gaussian,0,pca,8,zz,250000,0.08294039964675903,0.2334480583667755,0.03632427752017975,29.357688903808594,180.61715698242188,0.9428571428571428,0.9666666666666667
gaussian,0,pca,8,angle_reupload,250000,0.011032288894057274,0.0448942631483078,0.010450059548020363,3.2262682914733887,81.90257263183594,0.48857142857142855,0.4266666666666667
gaussian,0,pca,10,zz,250000,0.09032991528511047,0.17861080169677734,0.03322020173072815,47.488983154296875,137.49571228027344,0.9685714285714285,0.9466666666666667
gaussian,0,pca,10,angle_reupload,250000,-0.022621186450123787,-0.03487682342529297,3.1534223126072902e-06,25.603429794311523,1.0142600536346436,0.4114285714285714,0.4266666666666667
gaussian,0,rp,2,zz,250000,0.0075609274208545685,0.03929081931710243,0.0614120252430439,2.6643617153167725,377.3526306152344,0.6314285714285715,0.6733333333333333
gaussian,0,rp,2,angle_reupload,250000,0.010239987634122372,0.030545473098754883,0.09536714106798172,2.521721363067627,340.0348205566406,0.42,0.37333333333333335
gaussian,0,rp,4,zz,250000,0.04660705104470253,0.18800821900367737,0.057746097445487976,5.727338790893555,305.83209228515625,0.7885714285714286,0.8
gaussian,0,rp,4,angle_reupload,250000,0.0002388873981544748,0.0009062563185580075,0.0499434731900692,1.9890894889831543,211.1658172607422,0.4057142857142857,0.4266666666666667
gaussian,0,rp,6,zz,250000,0.048508092761039734,0.14186929166316986,0.06292311102151871,10.066366195678711,254.04904174804688,0.8428571428571429,0.8266666666666667
gaussian,0,rp,6,angle_reupload,250000,-0.0022439141757786274,-0.010852574370801449,0.029504122212529182,1.96303129196167,143.62586975097656,0.48857142857142855,0.49333333333333335
gaussian,0,rp,8,zz,250000,0.03372562676668167,0.08701248466968536,0.05170097574591637,18.791648864746094,205.22669982910156,0.9257142857142857,0.8866666666666667
gaussian,0,rp,8,angle_reupload,250000,0.00547071686014533,0.02019716612994671,0.01858450658619404,2.0102157592773438,101.53643035888672,0.44857142857142857,0.4533333333333333
gaussian,0,rp,10,zz,250000,0.08236991614103317,0.17853914201259613,0.04162686690688133,32.580326080322266,163.12765502929688,0.9542857142857143,0.9066666666666666
gaussian,0,rp,10,angle_reupload,250000,0.020721666514873505,0.0637323409318924,0.008943368680775166,2.4320895671844482,64.90531158447266,0.47714285714285715,0.4666666666666667
gaussian,0,umap,2,zz,250000,0.1440815031528473,0.24034404754638672,0.0982891246676445,5.784405708312988,241.2210693359375,0.9228571428571428,0.9266666666666666
gaussian,0,umap,2,angle_reupload,250000,0.08736556023359299,0.1638297587633133,0.09291719645261765,3.413893461227417,237.3420867919922,0.5314285714285715,0.5133333333333333
gaussian,0,umap,4,zz,250000,0.24958327412605286,0.40102657675743103,0.09461565315723419,7.464678764343262,227.5049285888672,0.9314285714285714,0.94
gaussian,0,umap,4,angle_reupload,250000,0.06752608716487885,0.14093077182769775,0.011406478472054005,3.0910937786102295,69.03398895263672,0.4257142857142857,0.46
gaussian,0,umap,6,zz,250000,0.24413134157657623,0.34281933307647705,0.08333741873502731,11.65597152709961,186.8518524169922,0.9428571428571428,0.9466666666666667
gaussian,0,umap,6,angle_reupload,250000,-0.06186502426862717,-0.09576703608036041,0.0007165235001593828,4.582363128662109,16.133440017700195,0.4114285714285714,0.4066666666666667
gaussian,0,umap,8,zz,250000,0.29903289675712585,0.36357563734054565,0.057352062314748764,20.7565860748291,141.44369506835938,0.96,0.96
gaussian,0,umap,8,angle_reupload,250000,0.06607384979724884,0.09439072012901306,0.00040107007953338325,4.170889377593994,11.024968147277832,0.5,0.5
gaussian,0,umap,10,zz,250000,0.29105105996131897,0.3453191816806793,0.051516707986593246,25.78614044189453,130.171142578125,0.9628571428571429,0.9666666666666667
