dataset,dr_method,dimension,embedding,kta_mean,kta_std,centered_kta_mean,centered_kta_std,variance_mean,variance_std,effective_rank_mean,effective_rank_std,fro_norm_mean,fro_norm_std,svm_train_acc_mean,svm_train_acc_std,svm_test_acc_mean,svm_test_acc_std
gaussian,fs,2,angle_reupload,0.025137024000287056,0.0,0.11396849900484085,0.0,0.06735320389270782,0.0,2.1857950687408447,0.0,365.2996520996094,0.0,0.5123809523809524,0.012883570722351086,0.5177777777777778,0.016777409856157218
gaussian,fs,2,zz,0.03225024789571762,0.0,0.17734332382678986,0.0,0.06007186323404312,0.0,2.582728385925293,0.0,381.93975830078125,0.0,0.7200000000000001,0.002857142857142822,0.7333333333333334,0.013333333333333378
gaussian,fs,4,angle_reupload,-0.013686656951904297,0.0,-0.049608245491981506,0.0,0.04469689726829529,0.0,2.278050422668457,0.0,218.25209045410156,0.0,0.31047619047619046,0.009184429296183768,0.33111111111111113,0.0167774098561572
gaussian,fs,4,zz,0.04967630282044411,0.0,0.2141728550195694,0.0,0.04989054054021835,0.0,5.7496137619018555,0.0,306.4419250488281,0.0,0.8257142857142856,0.015118578920369113,0.84,0.033333333333333326
gaussian,fs,6,angle_reupload,0.008995022624731064,0.0,0.04558583348989487,0.0,0.022271467372775078,0.0,2.2816803455352783,0.0,135.85252380371094,0.0,0.3628571428571428,0.015118578920369096,0.37777777777777777,0.06743995957997119
gaussian,fs,6,zz,0.07677683234214783,0.0,0.25349968671798706,0.0,0.04979561269283295,0.0,12.014528274536133,0.0,243.82479858398438,0.0,0.9238095238095237,0.007190318509781641,0.9266666666666667,0.006666666666666668
gaussian,fs,8,angle_reupload,0.008437028154730797,0.0,0.03720243275165558,0.0,0.014574812725186348,0.0,2.2614035606384277,0.0,98.94274139404297,0.0,0.49047619047619045,0.01438063701956331,0.4688888888888889,0.04337604732431804
gaussian,fs,8,zz,0.07583577930927277,0.0,0.2199762761592865,0.0,0.046106867492198944,0.0,19.159164428710938,0.0,208.89242553710938,0.0,0.9314285714285715,0.007559289460184609,0.9266666666666667,0.006666666666666668
gaussian,fs,10,angle_reupload,-0.002760087139904499,0.0,-0.009902474470436573,0.0,0.007274510804563761,0.0,2.355792760848999,0.0,62.745025634765625,0.0,0.379047619047619,0.032991443953692905,0.3977777777777778,0.015396007178390023
gaussian,fs,10,zz,0.07906638830900192,0.0,0.1880647838115692,0.0,0.03845623508095741,0.0,34.196754455566406,0.0,165.1573944091797,0.0,0.9476190476190475,0.01081696827771481,0.9444444444444443,0.016777409856157218
