dataset,seed,dr_method,dimension,embedding,circuit_evals,kta,centered_kta,variance,effective_rank,fro_norm,svm_train_acc,svm_test_acc
noise,2,umap,6,angle_reupload,250000,-0.0003461168962530792,-0.00045304250670596957,0.0009175862651318312,57.81364059448242,18.758251190185547,0.4742857142857143,0.4533333333333333
noise,2,umap,8,zz,250000,0.025669004768133163,0.029621325433254242,0.004074249882251024,329.22802734375,35.47725296020508,0.94,0.47333333333333333
noise,2,umap,8,angle_reupload,250000,-0.0004553500039037317,-0.0006748076411895454,5.511011113412678e-05,96.26541137695312,4.5460429191589355,0.5057142857142857,0.5066666666666667
noise,2,umap,10,zz,250000,0.03984824940562248,0.04068250209093094,0.0024416695814579725,445.15179443359375,25.1795597076416,0.9971428571428571,0.48
noise,2,umap,10,angle_reupload,250000,-0.0014617701526731253,-0.0018791132606565952,2.5034219106601086e-06,123.74110412597656,0.9681674242019653,0.5057142857142857,0.5066666666666667
noise,2,fs,2,zz,250000,0.00020488737209234387,0.0015694076428189874,0.05948583036661148,2.9638028144836426,366.6419982910156,0.5542857142857143,0.47333333333333333
noise,2,fs,2,angle_reupload,250000,2.308728471689392e-05,0.00022648255981039256,0.030713219195604324,1.3265916109085083,390.22314453125,0.46,0.48
noise,2,fs,4,zz,250000,0.0028981941286474466,0.006028570234775543,0.03900497034192085,22.497915267944336,171.15298461914062,0.6314285714285715,0.4533333333333333
noise,2,fs,4,angle_reupload,250000,-0.0010381577303633094,-0.0022492974530905485,0.052334435284137726,4.30482816696167,183.37147521972656,0.46,0.4866666666666667
noise,2,fs,6,zz,250000,0.012996830977499485,0.020447110757231712,0.011541961692273617,134.25828552246094,77.08197021484375,0.82,0.5
noise,2,fs,6,angle_reupload,250000,-0.0009351731860078871,-0.0017564347945153713,0.006772289052605629,25.642759323120117,52.49650955200195,0.4542857142857143,0.5066666666666667
noise,2,fs,8,zz,250000,0.02548057958483696,0.033125702291727066,0.004484617616981268,315.2309265136719,41.429237365722656,0.9371428571428572,0.54
noise,2,fs,8,angle_reupload,250000,0.001377547043375671,0.0014609849313274026,0.0008355833124369383,73.09113311767578,16.328590393066406,0.4857142857142857,0.5
noise,2,fs,10,zz,250000,0.036808814853429794,0.0408804751932621,0.002576989820227027,436.71856689453125,27.4586238861084,0.9942857142857143,0.5466666666666666
noise,2,fs,10,angle_reupload,250000,0.0014485055580735207,0.0015043058665469289,1.372338920191396e-05,129.17030334472656,2.12448787689209,0.5057142857142857,0.5066666666666667
