dataset,dr_method,dimension,embedding,kta_mean,kta_std,centered_kta_mean,centered_kta_std,variance_mean,variance_std,effective_rank_mean,effective_rank_std,fro_norm_mean,fro_norm_std,svm_train_acc_mean,svm_train_acc_std,svm_test_acc_mean,svm_test_acc_std
noise,fs,2,angle_reupload,2.308728471689392e-05,0.0,0.00022648255981039256,0.0,0.030713219195604324,0.0,1.3265916109085083,0.0,390.22314453125,0.0,0.47523809523809524,0.03673771718473507,0.5022222222222222,0.023412563895228305
noise,fs,2,zz,0.00020488737209234387,0.0,0.0015694076428189874,0.0,0.05948583036661148,0.0,2.9638028144836426,0.0,366.6419982910156,0.0,0.5438095238095237,0.015735915849388903,0.47555555555555556,0.003849001794597518
noise,fs,4,angle_reupload,-0.0010381577303633094,0.0,-0.0022492974530905485,0.0,0.052334435284137726,0.0,4.30482816696167,0.0,183.37147521972656,0.0,0.46761904761904766,0.013196577581477135,0.48,0.017638342073763934
noise,fs,4,zz,0.0028981941286474466,0.0,0.006028570234775543,0.0,0.03900497034192085,0.0,22.497915267944336,0.0,171.15298461914062,0.0,0.6323809523809524,0.004364357804719809,0.4711111111111111,0.042860670048857574
noise,fs,6,angle_reupload,-0.0009351731860078871,0.0,-0.0017564347945153713,0.0,0.006772289052605629,0.0,25.642759323120117,0.0,52.49650955200195,0.0,0.45714285714285713,0.03010186786529355,0.5244444444444444,0.01677740985615723
noise,fs,6,zz,0.012996830977499485,0.0,0.020447110757231712,0.0,0.011541961692273617,0.0,134.25828552246094,0.0,77.08197021484375,0.0,0.8133333333333334,0.005947617141331735,0.5244444444444444,0.026943012562182483
noise,fs,8,angle_reupload,0.001377547043375671,0.0,0.0014609849313274026,0.0,0.0008355833124369383,0.0,73.09113311767578,0.0,16.328590393066406,0.0,0.5028571428571429,0.024907993963089594,0.5044444444444444,0.020367003088692603
noise,fs,8,zz,0.02548057958483696,0.0,0.033125702291727066,0.0,0.004484617616981268,0.0,315.2309265136719,0.0,41.429237365722656,0.0,0.9504761904761905,0.011895234282663581,0.5266666666666667,0.013333333333333336
noise,fs,10,angle_reupload,0.0014485055580735207,0.0,0.0015043058665469289,0.0,1.372338920191396e-05,0.0,129.17030334472656,0.0,2.12448787689209,0.0,0.5057142857142857,0.0,0.5066666666666667,0.0
noise,fs,10,zz,0.036808814853429794,0.0,0.0408804751932621,0.0,0.002576989820227027,0.0,436.71856689453125,0.0,27.4586238861084,0.0,0.9942857142857143,0.0,0.4955555555555555,0.05347204184673762
noise,pca,2,angle_reupload,0.00012778289965353906,0.0,0.00021667701366823167,0.0,0.03333815559744835,0.0,1.3448957204818726,0.0,383.8725280761719,0.0,0.5028571428571428,0.01245399698154482,0.5266666666666667,0.029059326290271116
noise,pca,2,zz,0.0007766032940708101,0.0,0.003620976349338889,0.0,0.06629383563995361,0.0,3.1628077030181885,0.0,357.4277648925781,0.0,0.559047619047619,0.0032991443953693136,0.5155555555555555,0.03288588574877496
noise,pca,4,angle_reupload,0.0007297546253539622,0.0,0.0019219161476939917,0.0,0.04932775720953941,0.0,4.579344272613525,0.0,174.49517822265625,0.0,0.48952380952380947,0.04003399915615939,0.5155555555555557,0.05388602512436509
noise,pca,4,zz,0.004209107253700495,0.0,0.008662823587656021,0.0,0.03786353021860123,0.0,23.68753433227539,0.0,169.4024200439453,0.0,0.6533333333333333,0.023790468565327308,0.5,0.033333333333333305
noise,pca,6,angle_reupload,0.0004059103084728122,0.0,3.4204487747047096e-05,0.0,0.0056102038361132145,0.0,29.990890502929688,0.0,47.35544204711914,0.0,0.48666666666666664,0.005947617141331809,0.4711111111111111,0.020367003088692617
noise,pca,6,zz,0.01253493968397379,0.0,0.02002103440463543,0.0,0.011058418080210686,0.0,142.54995727539062,0.0,74.77098846435547,0.0,0.820952380952381,0.014661718398419652,0.5022222222222222,0.01539600717839004
noise,pca,8,angle_reupload,0.0016528589185327291,0.0,0.001814347691833973,0.0,0.0005703837377950549,0.0,86.08708953857422,0.0,13.45833683013916,0.0,0.48380952380952386,0.01649572197684646,0.48666666666666664,0.07023769168568492
noise,pca,8,zz,0.02622518315911293,0.0,0.03404523804783821,0.0,0.004057998303323984,0.0,337.9625549316406,0.0,38.22767639160156,0.0,0.9742857142857142,0.012453996981544774,0.5466666666666667,0.017638342073763913
noise,pca,10,angle_reupload,0.00015949082444421947,0.0,-0.00010550998558755964,0.0,1.3705765923077706e-05,0.0,126.25703430175781,0.0,2.0986263751983643,0.0,0.5057142857142857,0.0,0.5066666666666667,0.0
noise,pca,10,zz,0.03726089000701904,0.0,0.04081588238477707,0.0,0.0024958306457847357,0.0,443.330078125,0.0,26.75560760498047,0.0,0.9990476190476191,0.0016495721976846809,0.5222222222222223,0.04537906190369363
noise,rp,2,angle_reupload,7.613433990627527e-05,0.0,0.0001301353913731873,0.0,0.028886141255497932,0.0,1.1752288341522217,0.0,394.7862854003906,0.0,0.4980952380952381,0.032991443953692884,0.4977777777777778,0.02036700308869262
noise,rp,2,zz,0.00047589404857717454,0.0,0.0028313833754509687,0.0,0.05759793147444725,0.0,2.7189722061157227,0.0,373.12628173828125,0.0,0.5447619047619048,0.0043643578047198395,0.46222222222222226,0.020367003088692586
noise,rp,4,angle_reupload,-0.00038772920379415154,0.0,-0.002148453611880541,0.0,0.05597472935914993,0.0,3.1840767860412598,0.0,201.92095947265625,0.0,0.5133333333333333,0.021633936555429688,0.5,0.03711842908553351
noise,rp,4,zz,0.0033084533642977476,0.0,0.007438104134052992,0.0,0.04387284442782402,0.0,16.721139907836914,0.0,196.7094268798828,0.0,0.6447619047619048,0.016246402008792325,0.48,0.03464101615137756
noise,rp,6,angle_reupload,0.0013801915338262916,0.0,0.0020837837364524603,0.0,0.007309464737772942,0.0,20.19170570373535,0.0,53.6341438293457,0.0,0.4780952380952381,0.021444438569900404,0.5133333333333333,0.0266666666666667
noise,rp,6,zz,0.010645441710948944,0.0,0.01663561351597309,0.0,0.012554380111396313,0.0,127.0926513671875,0.0,79.18850708007812,0.0,0.8038095238095239,0.014380637019563304,0.5,0.03711842908553348
noise,rp,8,angle_reupload,0.0005228432128205895,0.0,0.0003442737797740847,0.0,0.0010559576330706477,0.0,40.9972038269043,0.0,18.03346061706543,0.0,0.44476190476190475,0.015735915849388857,0.46444444444444444,0.04073400617738525
noise,rp,8,zz,0.021675463765859604,0.0,0.02847878448665142,0.0,0.004892455413937569,0.0,303.22052001953125,0.0,42.5848503112793,0.0,0.9314285714285715,0.0057142857142856995,0.49333333333333335,0.0305505046330389
noise,rp,10,angle_reupload,0.0015570790274068713,0.0,0.0016528693959116936,0.0,3.514822674333118e-05,0.0,76.74516296386719,0.0,3.197101354598999,0.0,0.5057142857142857,0.0,0.5066666666666667,0.0
noise,rp,10,zz,0.03723502531647682,0.0,0.04044940695166588,0.0,0.0025506007950752974,0.0,440.917236328125,0.0,26.869434356689453,0.0,0.9971428571428572,0.0028571428571428636,0.5155555555555555,0.00384900179459753
noise,umap,2,angle_reupload,0.0001991542667383328,0.0,-0.0003373153740540147,0.0,0.0558755099773407,0.0,1.6628419160842896,0.0,299.4952087402344,0.0,0.5028571428571428,0.004948716593053894,0.508888888888889,0.0038490017945974737
noise,umap,2,zz,0.001484968001022935,0.0,0.0027616582810878754,0.0,0.08174978196620941,0.0,5.902511119842529,0.0,253.0942840576172,0.0,0.5533333333333333,0.010033955955097911,0.49333333333333335,0.02403700850309328
noise,umap,4,angle_reupload,0.0008232882828451693,0.0,0.0009971295949071646,0.0,0.01592598482966423,0.0,12.229469299316406,0.0,83.88936614990234,0.0,0.49333333333333335,0.027454352962665882,0.5088888888888888,0.03150543750835069
noise,umap,4,zz,0.006910968571901321,0.0,0.010580816306173801,0.0,0.02440752275288105,0.0,43.35145568847656,0.0,114.33583068847656,0.0,0.6638095238095238,0.005947617141331775,0.5133333333333333,0.02905932629027113
noise,umap,6,angle_reupload,-0.0003461168962530792,0.0,-0.00045304250670596957,0.0,0.0009175862651318312,0.0,57.81364059448242,0.0,18.758251190185547,0.0,0.46285714285714286,0.013093073414159554,0.4688888888888889,0.03288588574877502
noise,umap,6,zz,0.016212716698646545,0.0,0.021029340103268623,0.0,0.008443478494882584,0.0,171.90756225585938,0.0,57.390541076660156,0.0,0.8161904761904761,0.027004660721443464,0.4711111111111111,0.03355481971231445
noise,umap,8,angle_reupload,-0.0004553500039037317,0.0,-0.0006748076411895454,0.0,5.511011113412678e-05,0.0,96.26541137695312,0.0,4.5460429191589355,0.0,0.5057142857142857,0.0,0.5066666666666667,0.0
noise,umap,8,zz,0.025669004768133163,0.0,0.029621325433254242,0.0,0.004074249882251024,0.0,329.22802734375,0.0,35.47725296020508,0.0,0.94,0.0,0.4844444444444444,0.037908271353848846
noise,umap,10,angle_reupload,-0.0014617701526731253,0.0,-0.0018791132606565952,0.0,2.5034219106601086e-06,0.0,123.74110412597656,0.0,0.9681674242019653,0.0,0.5057142857142857,0.0,0.5066666666666667,0.0
noise,umap,10,zz,0.03984824940562248,0.0,0.04068250209093094,0.0,0.0024416695814579725,0.0,445.15179443359375,0.0,25.1795597076416,0.0,0.9942857142857142,0.004948716593053883,0.45555555555555555,0.036717136981907345
